2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Oreo count=4
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Dip count=4
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Bean count=6
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Baby Carrot count=5
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Pretzel count=4
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Slushie count=7
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Sherbert count=8
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Gogurt count=13
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Peach count=11
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Churro count=16
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Dum Dum count=17
2025-12-05 15:40:21 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Gallery id=Apricot count=17
2025-12-05 15:40:22 | INFO | starBoard.data.fields_config | sid=20251205-154000-195ec5 | Loaded field configuration from D:\starBoard\archive\fields_config.yaml
2025-12-05 15:40:22 | INFO | starBoard.data.id_registry | sid=20251205-154000-195ec5 | list_ids target=Queries count=54 (exclude_silent=False)
2025-12-05 15:40:22 | INFO | starBoard.data.id_registry | sid=20251205-154000-195ec5 | list_ids target=Gallery count=55 (exclude_silent=False)
2025-12-05 15:40:22 | INFO | starBoard.data.images | sid=20251205-154000-195ec5 | image_list target=Queries id=SP23A count=9
2025-12-05 15:40:22 | INFO | starBoard.search.engine | sid=20251205-154000-195ec5 | engine_rebuild start gallery_ids=54 query_ids=54
2025-12-05 15:40:22 | INFO | starBoard.search.engine | sid=20251205-154000-195ec5 | text_backend=bge
